feature_id,area,user_story,expected_behavior,code_evidence,test_evidence,manual_test,status,local_test_status,errors_found,fix_status,retest_status
APP-001,App shell,"As an Edge Node user, I can start Dispatch from my SQL directory and keep that launch context.","App captures Path.cwd once, shows the short CWD in the title area, opens Dashboard, and refreshes Kerberos on a timer.","dispatch/app.py:38-95; README.md:40-47","tests/test_ui_ux_audit_implementation.py:45-55","cd to SQL directory and run dispatch; New Job should use that directory.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; Edge CWD check pending"
APP-002,App shell,"As a keyboard user, I can reach core destinations and maintenance actions globally.","Global bindings support q, ?, F2; command palette exposes Overview, New Job, History, Browse metadata, and kinit.","dispatch/app.py:38-42; dispatch/app.py:136-159","tests/test_cockpit.py:190-197; tests/test_production_polish.py::test_sidebar_collapses_automatically_and_with_global_binding","Press ?, F2, and command palette in a real terminal.",Implemented,"Automated covered; focused F2 sidebar test passed","Ctrl+B is a poor tmux/SSH shortcut and the old action queried the wrong scope","Changed sidebar shortcut to F2 and toggle action to query the active screen","Focused local retest passed; SSH key delivery pending"
APP-003,App shell,"As a user on a small SSH terminal, I get a warning instead of silent broken layout.","The app warns below 80x24 and keeps layouts usable at 80x24.","dispatch/app.py:29-30; dispatch/app.py:118-130","tests/test_ui_ux_audit_implementation.py:45-55; tests/test_ui_ux_audit_implementation.py::TestNarrowTerminalLayout::test_below_min_terminal_notifies_minimum_size","Resize below 80x24 over SSH.",Implemented,"Automated 80x24 render and below-min notification covered",None,None,"Focused local retest passed; real terminal resize pending"
APP-004,App shell,"As an operator, I can diagnose startup and install-version drift from local evidence.","App startup configures ~/.dispatch/dispatch.log, writes a startup entry, and warns when installed_version is missing or differs from the running package version.","dispatch/__init__.py:13-28; dispatch/app.py:57-80; dispatch/app.py:170-177","tests/test_cockpit.py:119-131","Start Dispatch with an intentionally stale installed_version and inspect ~/.dispatch/dispatch.log.",Implemented,"Automated startup log and version-warning coverage",None,None,"Local automated pass"
SIDE-001,Sidebar,"As a user, I can navigate consistently from top-level and nested screens.","Sidebar items route through the app, flatten stale top-level stack state, and require a selected job for View Logs.","dispatch/screens/sidebar.py:68-130; dispatch/app.py:179-253","tests/test_ui_ux_closure.py:174-230; tests/test_ui_ux_closure.py:512-539","Click sidebar entries from New Job, History, Browser, and Job Detail.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
SIDE-002,Sidebar,"As a user on a narrow terminal, I can collapse navigation while preserving status.","Sidebar auto-collapses below width 100 or via F2; icons, active item, and Kerberos chip remain visible.","dispatch/screens/sidebar.py:111-136; dispatch/app.py:49-53","tests/test_production_polish.py:174-186; tests/test_production_polish.py::test_sidebar_collapses_automatically_and_with_global_binding","Resize below width 100 and press F2.",Implemented,"Automated collapse, manual override, icon, and Kerberos chip coverage","Sidebar toggle action did not find screen-mounted sidebars; Ctrl+B conflicted with tmux usage","Fixed active-screen query, manual override, and changed shortcut to F2","Focused local retest passed; SSH visual check pending"
DASH-001,Dashboard,"As a supervisor, I can see current and recent jobs with running jobs prioritized.","Dashboard refreshes active jobs off-thread, pins Running first, caps visible rows at 100, and shows id/source/destination/state/elapsed.","dispatch/screens/dashboard.py:155-187; dispatch/screens/dashboard.py:235-333; dispatch/jobs.py:67-74","tests/test_cockpit.py:62-80","Seed Running and recent terminal manifests; verify ordering.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
DASH-002,Dashboard,"As a user, I can understand capacity and Kerberos readiness at a glance.","Status strip shows RUNNING n/2, finished/failed 7D counts, and Kerberos missing/low/healthy TTL.","dispatch/screens/dashboard.py:254-270; dispatch/jobs.py:13-14","tests/test_cockpit.py:84-121; tests/test_production_polish.py:174-186","Verify status strip with healthy and missing ticket over SSH.",Implemented,"Automated covered including missing/low/healthy Kerberos matrix",None,None,"Local automated pass; real klist pending"
DASH-003,Dashboard,"As a user with many jobs, I can filter the cockpit without per-keystroke filesystem work.","Slash opens filter; cached jobs are filtered by id/source/destination/state; Escape clears and refocuses the table.","dispatch/screens/dashboard.py:272-288; dispatch/screens/dashboard.py:410-430","tests/test_cockpit.py:123-153","Press /, type a state or id fragment, then Escape.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
DASH-004,Dashboard,"As a supervisor, I can preview the highlighted job log without opening detail.","Dashboard selects a running or first job, tails a small log window, updates on row highlight, and hides the pane on short terminals.","dispatch/screens/dashboard.py:43-47; dispatch/screens/dashboard.py:169-216; dispatch/screens/dashboard.py:344-369; dispatch/screens/dashboard.py:500-528","tests/test_cockpit.py:100-119; tests/test_production_polish.py:139-169","Highlight multiple jobs; verify log preview follows.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
DASH-005,Dashboard,"As a keyboard user, I can launch, view, cancel, and navigate from the cockpit.","N opens New Job, V opens selected Job Detail, C opens selected Job Detail with cancel flow, H opens History, B opens Browser, Enter opens detail.","dispatch/screens/dashboard.py:50-62; dispatch/screens/dashboard.py:467-498","tests/test_ui_ux_closure.py:235-308","Press each binding with seeded rows.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
DASH-006,Dashboard,"As a new or cleaned-up user, I get a useful empty cockpit instead of a blank table.","When there are no recent jobs, the dashboard shows the current empty-state copy and the bottom event trail records startup with a timestamp.","dispatch/screens/dashboard.py:101-107; dispatch/screens/dashboard.py:145-151; dispatch/screens/dashboard.py:342","tests/test_cockpit.py:102-116","Start Dispatch with no jobs and inspect the empty state plus event trail.",Implemented,"Automated empty-state and startup-event coverage",None,None,"Local automated pass"
HIST-001,History,"As a user, I can review jobs older than the dashboard window.","History loads old terminal jobs off-thread and displays id, target, state, and finished time.","dispatch/screens/history.py:76-135; dispatch/jobs.py:77-83","tests/test_pure_logic.py:359-367","Seed old finished manifests; press H.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
HIST-002,History,"As a user with many historical jobs, I can page, sort, search, and open details.","Search filters cached jobs; page size is 17; [ and ] page; S cycles sort; Enter/View Logs opens full row-key job id.","dispatch/screens/history.py:18-31; dispatch/screens/history.py:89-226","tests/test_ui_ux_closure.py:116-169; tests/test_ui_ux_closure.py:311-360","Use search, paging, sorting, and Enter on real history.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
HELP-001,Help,"As a user, I can discover keyboard actions without leaving the TUI.","? opens modal help; Esc or ? dismisses; help lists global and screen-specific bindings.","dispatch/screens/help.py:10-79; dispatch/app.py:46-47","tests/test_new_features.py:183-196","Press ? and close it over SSH.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-001,New Job,"As a user, I can open New Job from the captured launch directory with sensible defaults.","New Job receives launch_cwd; default SQL is first *.sql or query.sql; dates default to current month; email seeds from DISPATCH_EMAIL.","dispatch/app.py:212-222; dispatch/screens/new_job.py:40-48; dispatch/screens/new_job.py:235-248","tests/test_ui_ux_closure.py:235-253; tests/test_ui_ux_audit_implementation.py:58-72","Start in a SQL directory and press N.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; Edge CWD pending"
NJ-002,New Job,"As a user, I can see the legal Source x Destination cells.","Matrix shows SqlFile supports Table/Csv/Table+Csv, SqlTemplate supports Table, ExistingTable supports Csv.","dispatch/screens/new_job.py:62-72; dispatch/screens/new_job.py:140-145; dispatch/manifest.py:56-62","tests/test_pure_logic.py:155-183; tests/test_cockpit.py::test_new_job_matrix_shows_legal_cells_and_toggles","Press M to toggle matrix and compare to README.",Implemented,"Automated contract and UI matrix toggle covered",None,None,"Focused matrix UI regression and local automated pass"
NJ-003,New Job,"As a user, I cannot choose unsupported source/destination pairs.","Illegal destination radio buttons are disabled; current illegal destination auto-switches to the first legal option; hints explain constrained sources.","dispatch/screens/new_job.py:341-397; dispatch/manifest.py:124-127","tests/test_production_polish.py:76-96; tests/test_pure_logic.py:169-183","Select SqlTemplate and ExistingTable and inspect enabled destinations.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-004,New Job,"As a user, I only see fields relevant to the selected job shape.","SQL file row shows for SQL sources; existing table row only for ExistingTable; schema/table rows for table-producing jobs; dates only for SqlTemplate.","dispatch/screens/new_job.py:351-383","tests/test_prefill_seam.py:19-81","Cycle source/destination options over SSH.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-005,New Job,"As a user, I can pick a SQL file from the launch directory instead of typing a path.","Worker scans launch_cwd/*.sql, detects source from first 8192 chars, lists file/detected/modified, and selected focused row fills the path.","dispatch/screens/new_job.py:147-225","tests/test_cockpit.py:157-187; tests/test_prefill_seam.py:84-100","Put SQL files in CWD; focus picker; move selection.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-006,New Job,"As a user, template SQL is recognized automatically.","SQL with both date placeholders is detected as SqlTemplate and can switch the source radio.","dispatch/sql.py:9-23; dispatch/screens/new_job.py:435-448","tests/test_cockpit.py:157-187","Pick a template file and verify source/date fields.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-007,New Job,"As a user, I get immediate feedback before launch.","Inline summary reports SQL file found/missing, email format, Kerberos status, and issue count; launch disabled when Kerberos is missing or under 5 minutes.","dispatch/screens/new_job.py:290-339; dispatch/screens/new_job.py:411-414; dispatch/kerberos.py:28-49","tests/test_new_features.py:203-266; tests/test_pure_logic.py:21-117","Try invalid email, missing SQL, and missing/low ticket.",Implemented,"Automated covered including low-TTL launch blocking and timeout fallback",None,None,"Local automated pass; real klist pending"
NJ-008,New Job,"As a user, I can run kinit from New Job and refresh ticket status.","K suspends the TUI, runs interactive kinit, refreshes local and app-wide Kerberos TTL, and notifies success or missing ticket.","dispatch/screens/new_job.py:619-628; dispatch/app.py:132-168","tests/test_new_features.py:203-271; tests/test_production_polish.py:174-188","Press K on Edge Node and complete kinit.",Implemented,"Automated kinit call and TTL refresh plumbing covered",None,None,"Focused local retest passed; real Edge kinit prompt pending"
NJ-009,New Job,"As a user, invalid launches are refused before any manifest or runner starts.","Launch refuses illegal cells, two-running cap, missing/low Kerberos, missing existing table, unreadable SQL, malformed template, and incomplete SqlTemplate.","dispatch/screens/new_job.py:449-471; dispatch/jobs.py:13-64; dispatch/sql.py:15-23","tests/test_pure_logic.py:382-406; tests/test_new_features.py:203-240; tests/test_phase1_safety.py:148-172","Seed two Running manifests; test low TTL and one-placeholder template.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-010,SQL Preview,"As a user, I can preview what will run before launching.","ExistingTable preview warns unavailable; SqlTemplate preview expands monthly SQL; DDL shows as-is; bare select for table destination is wrapped; missing file shows actionable error.","dispatch/screens/new_job.py:507-536; dispatch/sql.py:53-99; dispatch/screens/new_job.py:416-422","tests/test_phase1_safety.py:148-172; tests/test_new_features.py:272-293; tests/test_pure_logic.py:254-305","Press P for select, DDL, template, existing table, and missing file.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-011,Launch confirmation,"As a user, I must explicitly confirm before a job starts.","Launch validates first, opens a danger ConfirmScreen with source/destination/table/CSV/email, and cancel returns without runner launch.","dispatch/screens/new_job.py:538-610; dispatch/screens/confirm.py:11-94","tests/test_phase1_safety.py:108-145; tests/test_ui_snapshots.py:139-163","Press L, reject, then confirm.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-012,Launch execution,"As a user, confirmed launch creates a durable job and detached runner.","Job dir, job.sql, manifest, orchestrator calls, and detached runner launch are created only after confirmation; manifest writes tolerate transient Windows replace locks.","dispatch/screens/new_job.py:559-575; dispatch/manifest.py:167-198; dispatch/manifest.py:80-99; dispatch/process.py:28-43","tests/test_phase1_safety.py:108-145; tests/test_runner_integration.py:72-80; tests/test_pure_logic.py::TestManifestValidate::test_write_retries_transient_replace_permission_error","Confirm launch in mock happy_path and inspect manifest/log.",Implemented,"Automated covered; manifest retry regression passed","Windows occasionally raised PermissionError replacing manifest.tmp with manifest.json during runner completion","Added retry/backoff around atomic manifest replace","Full local validation passed"
NJ-013,Defaults and prefill,"As a repeat user or smoke harness, I can reuse common form values.","Successful launch saves schema/email/subject/destination defaults; prefill sets radios/fields, collapses matrix, hides redundant picker, and DISPATCH_TEST_PREFILL opens New Job.","dispatch/config.py:54-71; dispatch/screens/new_job.py:630-737; dispatch/app.py:98-116","tests/test_new_features.py:114-143; tests/test_prefill_seam.py:19-129","Launch once, reopen New Job; run with DISPATCH_TEST_PREFILL.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
PREV-001,SQL Preview,"As a user, I can review generated SQL before launch.","Preview shows breadcrumb, target, source/destination metadata, line-numbered SQL syntax highlighting, and line count status.","dispatch/screens/preview.py:14-88","tests/test_new_features.py:272-293","Press P from New Job and inspect scrollable preview.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
PREV-002,SQL Preview,"As a user, I can copy SQL and return without accidentally launching.","Y copies SQL or warns if clipboard unavailable; Enter/Esc/Back returns; Preview does not advertise Launch.","dispatch/screens/preview.py:27-104","tests/test_phase1_safety.py:175-184; tests/test_production_polish.py::test_preview_copy_sql_uses_clipboard_when_available","Press Y then Enter/Esc in a real terminal.",Implemented,"Automated copy and no-misleading-launch coverage",None,None,"Focused local retest passed; real terminal clipboard behavior pending"
BR-001,Browser,"As a user, I can browse Impala tables by schema/filter and select one.","Browser has schema/filter inputs, Load Tables, optional auto-load, list/count/selection status, and disabled Describe/Drop until selection.","dispatch/screens/browser.py:36-84; dispatch/screens/browser.py:117-175","tests/test_ui_ux_closure.py:364-398; tests/test_new_features.py:183-196","Open Browser, load tables, verify count and action buttons.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; real Impala pending"
BR-002,Browser,"As a user, I can inspect a selected table schema.","Enter/Describe calls impala.describe_table, parses pipe-delimited output into Column/Type/Comment, or shows raw/error text if parsing yields no columns.","dispatch/screens/browser.py:176-233; dispatch/impala.py:31-33","tests/test_new_features.py:49-65; tests/test_mock_contract.py:203-218","Select a table and press Enter.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; real Impala pending"
BR-003,Browser,"As a user, DROP TABLE requires strong confirmation.","Drop opens a danger modal naming the full table; user must type exact full table name; success reloads list and reports result.","dispatch/screens/browser.py:247-290; dispatch/screens/confirm.py:49-91","tests/test_phase1_safety.py:18-52; tests/test_ui_ux_closure.py:437-547","Only drop dispatch_smoke_* scratch table in smoke test.",Implemented,"Automated covered; py -m pytest passed","Production docs conflicted on whether scratch DROP was blocked","docs/production_testing.md clarified scratch-only cleanup; docs/edge-node-smoke-test.md says dispatch_smoke_* only","Full local validation passed; scratch DROP Edge smoke pending"
JOB-001,Job Detail,"As a user, I can inspect a job summary and live logs.","Detail reads manifest/log off-thread every second, caches manifest mtime, shows source/destination/state/start/elapsed/CSV, appends logs, and shows truncation hint.","dispatch/screens/job_detail.py:119-300","tests/test_ui_ux_audit_implementation.py:75-119; tests/test_production_polish.py:99-135","Open running and finished jobs.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-002,Job Detail,"As a log reader, I can pause/follow, jump, search, and copy job id.","Space/F toggles follow, g/G scroll top/bottom, slash toggles search input, Y copies or displays the job id.","dispatch/screens/job_detail.py:30-41; dispatch/screens/job_detail.py:302-341","tests/test_ui_ux_audit_implementation.py:108-119; tests/test_production_polish.py::test_job_detail_search_and_copy_job_id_are_keyboard_reachable","Tail a noisy running job and try follow/search/copy.",Implemented,"Automated follow, search, jump, and copy coverage",None,None,"Focused local retest passed; noisy real log UX pending"
